年度,リーグ,ステージ,順位,選手名,チーム名,試合数,ポイント,平均スコア,平均順位,最高得点,最高得点順位,最低得点,トップ数,2着数,3着数,4着数,トップ率,トップ率順位,ラス回避率,ラス回避率順位,最多勝利順位,ポイント賞順位,ラス回避率賞順位,最多勝利賞順位,最高得点賞順位,トップ率賞順位,選手ID
2026,Aリーグ,レギュラー,9,ポテト吉野,SSブルーバーズ,9,183.1,20.3,2.00,"58,800点",19,"12,500点",3,4,1,1,33.3%,26,88.9%,13,25,9,12,25,17.00,25,P0181
2026,Aリーグ,レギュラー,10,ゆんゆん,武装,8,177.7,22.2,1.88,"44,300点",53,"17,300点",3,3,2,0,37.5%,17,100.0%,5,17,10,5,17,50.00,16,P0210
2026,Aリーグ,レギュラー,11,橋本るり子,SILVER WOLVES,9,167.4,18.6,2.00,"40,200点",68,"11,800点",4,3,0,2,44.4%,5,77.8%,34,6,11,33,6,64.00,4,P0249
2026,Aリーグ,レギュラー,12,松崎真也,SILVER WOLVES,9,161.7,18,2.11,"46,800点",43,"14,500点",4,1,3,1,44.4%,6,88.9%,14,7,12,13,7,40.00,5,P0276
2026,Aリーグ,レギュラー,13,EmperorTime,電光石火,8,145.6,18.2,2.00,"59,200点",16,"12,000点",3,2,3,0,37.5%,18,100.0%,6,18,13,6,18,14.00,17,P0024
2026,Aリーグ,レギュラー,14,おかぴー,MJAC愛好会,9,132.9,14.8,2.11,"49,000点",38,"11,300点",2,4,3,0,22.2%,51,100.0%,2,51,14,2,50,35.00,49,P0079
2026,Aリーグ,レギュラー,15,上野あいみ,SILVER WOLVES,8,128.6,16.1,2.00,"46,600点",44,"7,000点",3,3,1,1,37.5%,19,87.5%,16,19,15,15,19,41.00,18,P0279
2026,Aリーグ,レギュラー,16,銀河,enjoyすればイイ雀！,8,125.9,15.7,2.13,"58,000点",21,"11,000点",3,2,2,1,37.5%,20,87.5%,17,20,16,16,20,20.00,19,P0253
2026,Aリーグ,レギュラー,17,くまさぶろー,レッドリボン軍,8,125.2,15.7,2.25,"62,400点",11,"10,200点",3,1,3,1,37.5%,21,87.5%,18,21,17,17,21,10.00,20,P0100
2026,Aリーグ,レギュラー,18,ロンリーボーイ,MJAC愛好会,7,123.2,17.6,2.14,"74,900点",4,"13,900点",3,1,2,1,42.9%,10,85.7%,21,12,18,20,12,3.00,9,P0224
2026,Aリーグ,レギュラー,19,亜空間コツボー,MJAC愛好会,7,121,17.3,2.00,"40,000点",71,"9,700点",3,2,1,1,42.9%,11,85.7%,22,13,19,21,13,66.00,10,P0227
2026,Aリーグ,レギュラー,20,赤哲,武装,8,102.7,12.8,2.25,"49,500点",36,"7,400点",3,2,1,2,37.5%,22,75.0%,45,22,20,44,22,33.00,21,P0288
2026,Aリーグ,レギュラー,21,Hiromu,最強位ズ,9,101.8,11.3,2.11,"52,500点",29,"17,700点",2,4,3,0,22.2%,52,100.0%,3,52,21,3,51,26.00,50,P0030
2026,Aリーグ,レギュラー,22,きめっち,SSブルーバーズ,7,90.1,12.9,2.14,"44,700点",49,"15,300点",2,3,1,1,28.6%,32,85.7%,23,34,22,22,33,46.00,30,P0095
2026,Aリーグ,レギュラー,23,リョータ,最強位ズ,9,80.3,8.9,2.33,"50,900点",32,"15,900点",3,2,2,2,33.3%,27,77.8%,35,26,23,34,26,29.00,26,P0217
2026,Aリーグ,レギュラー,24,J,MJ東京,9,80,8.9,2.33,"48,300点",39,"8,500点",3,2,2,2,33.3%,28,77.8%,36,27,24,35,27,36.00,27,P0032
2026,Aリーグ,レギュラー,25,一之瀬 優,HIVE,3,78.2,26.1,2.00,"54,500点",27,"6,700点",2,0,0,1,66.7%,1,66.7%,76,33,,,,,,P0230
2026,Aリーグ,レギュラー,25,戯言遣い,ＺＯＯ,7,78.2,11.2,2.43,"85,000点",1,"15,200点",2,1,3,1,28.6%,33,85.7%,24,35,25,23,34,1.00,31,P0242
2026,Aリーグ,レギュラー,27,Mychemi,MJ東京,11,77.8,7.1,2.27,"64,300点",10,"-8,800点",3,3,4,1,27.3%,37,90.9%,12,30,26,11,30,9.00,35,P0044
2026,Aリーグ,レギュラー,28,けっけ,電光石火,10,75,7.5,2.20,"43,000点",58,"5,900点",2,4,4,0,20.0%,62,100.0%,1,61,27,1,60,55.00,60,P0102
2026,Aリーグ,レギュラー,29,JILL,たちこまーず,7,69.2,9.9,2.29,"45,800点",45,-700点,3,1,1,2,42.9%,12,71.4%,57,14,28,56,14,43.00,11,P0033
2026,Aリーグ,レギュラー,30,しんじゃうツモ,武装,8,65.3,8.2,2.13,"38,200点",77,"14,300点",2,3,3,0,25.0%,39,100.0%,7,39,29,7,38,72.00,37,P0119
2026,Aリーグ,レギュラー,31,ブ茶ラティ,最強位ズ,9,55.5,6.2,2.22,"39,500点",73,"9,100点",2,4,2,1,22.2%,53,88.9%,15,53,30,14,52,68.00,51,P0171
2026,Aリーグ,レギュラー,32,aimoni,MJ東京,9,46.1,5.1,2.44,"54,300点",28,-600点,3,1,3,2,33.3%,29,77.8%,37,28,31,36,28,25.00,28,P0015
2026,Aリーグ,レギュラー,33,店長倍損の上司,SILVER WOLVES,7,40.6,5.8,2.43,"59,400点",13,"-16,700点",3,0,2,2,42.9%,13,71.4%,58,15,32,57,15,11.00,12,P0302
2026,Aリーグ,レギュラー,34,郷 ひろし,HIVE,11,40.1,3.6,2.45,"59,400点",13,"3,500点",3,2,4,2,27.3%,38,81.8%,29,31,33,28,31,12.00,36,P0250
2026,Aリーグ,レギュラー,35,坊や哲,たちこまーず,8,38.7,4.8,2.50,"73,900点",5,"10,700点",2,3,0,3,25.0%,40,62.5%,78,40,34,74,39,4.00,38,P0310
2026,Aリーグ,レギュラー,36,ｒｒｒｒｒｒ,最強位ズ,9,35.7,4,2.44,"49,800点",34,"1,500点",3,1,3,2,33.3%,30,77.8%,38,29,35,37,29,31.00,29,P0053
2026,Aリーグ,レギュラー,37,べびたん,enjoyすればイイ雀！,8,34.2,4.3,2.38,"40,100点",69,"-9,300点",3,1,2,2,37.5%,23,75.0%,46,23,36,45,23,65.00,22,P0173
2026,Aリーグ,レギュラー,38,かじ,レッドリボン軍,7,32,4.6,2.29,"45,200点",47,"-19,400点",3,0,3,1,42.9%,14,85.7%,25,16,37,24,16,44.00,13,P0090
2026,Aリーグ,レギュラー,39,ミズゴロウ♂,たちこまーず,7,28.1,4,2.43,"50,800点",33,"3,800点",1,4,0,2,14.3%,72,71.4%,59,72,38,58,63,30.00,63,P0193
2026,Aリーグ,レギュラー,40,田口淳之介,SILVER WOLVES,8,27.8,3.5,2.38,"44,300点",53,"-1,300点",2,3,1,2,25.0%,41,75.0%,47,41,39,46,40,51.00,39,P0269
2026,Aリーグ,レギュラー,41,k-k,電光石火,9,27.2,3,2.33,"49,500点",36,-200点,2,4,1,2,22.2%,54,77.8%,39,54,40,38,53,34.00,52,P0034
2026,Aリーグ,レギュラー,42,ぼうや@HIVE,HIVE,9,23.4,2.6,2.44,"41,000点",66,-300点,4,0,2,3,44.4%,7,66.7%,70,8,41,69,8,63.00,6,P0177
2026,Aリーグ,レギュラー,43,シクラメン富男,たちこまーず,8,14.1,1.8,2.38,"43,200点",57,"7,200点",3,2,0,3,37.5%,24,62.5%,79,24,42,75,24,54.00,23,P0113
2026,Aリーグ,レギュラー,44,とと,レッドリボン軍,9,14,1.6,2.44,"69,700点",7,"-7,500点",2,3,2,2,22.2%,55,77.8%,40,55,43,39,54,6.00,53,P0144
2026,Aリーグ,レギュラー,45,ダイゴ＠LA,最強位ズ,9,11.6,1.3,2.44,"42,900点",59,"16,800点",1,3,5,0,11.1%,83,100.0%,4,83,44,4,74,56.00,74,P0130
2026,Aリーグ,レギュラー,46,チン☆パラ,MJ東京,3,11.3,3.8,2.33,"37,900点",81,"10,700点",1,1,0,1,33.3%,31,66.7%,77,64,,,,,,P0136
2026,Aリーグ,レギュラー,47,みや,enjoyすればイイ雀！,9,10.3,1.1,2.56,"59,000点",17,"-3,900点",2,2,3,2,22.2%,56,77.8%,41,56,45,40,55,15.00,54,P0195
2026,Aリーグ,レギュラー,48,石田亮太,SSブルーバーズ,8,7.5,0.9,2.50,"56,000点",24,"9,900点",2,1,4,1,25.0%,42,87.5%,19,42,46,18,41,22.00,40,P0014
2026,Aリーグ,レギュラー,49,湾奥アングラー,MJAC愛好会,8,1.4,0.2,2.50,"58,200点",20,"-8,000点",2,2,2,2,25.0%,43,75.0%,48,43,47,47,42,18.00,41,P0323
2026,Aリーグ,レギュラー,50,小倉唯,レッドリボン軍,6,-9.9,-1.7,2.67,"59,500点",12,"12,300点",1,2,1,2,16.7%,69,66.7%,75,69,,,,,,P0273
2026,Aリーグ,レギュラー,51,葛餅,MJ東京,8,-15.1,-1.9,2.50,"44,600点",50,"7,300点",2,1,4,1,25.0%,44,87.5%,20,44,48,19,43,47.00,42,P0240
2026,Aリーグ,レギュラー,52,鈴木正道,SSブルーバーズ,8,-17.2,-2.2,2.75,"51,500点",30,"14,100点",2,1,2,3,25.0%,45,62.5%,80,45,49,76,44,27.00,43,P0004
2026,Aリーグ,レギュラー,53,すー,ＺＯＯ,11,-19.1,-1.7,2.64,"70,300点",6,"-7,200点",2,3,3,3,18.2%,68,72.7%,54,63,50,53,62,5.00,62,P0121
2026,Aリーグ,レギュラー,54,フィクション,武装,7,-23,-3.3,2.57,"43,900点",56,"6,800点",1,2,3,1,14.3%,73,85.7%,26,73,51,25,64,53.00,64,P0165
2026,Aリーグ,レギュラー,55,よつば@tobi,たちこまーず,7,-25.4,-3.6,2.43,"38,200点",77,"12,500点",1,3,2,1,14.3%,74,85.7%,27,74,52,26,65,73.00,65,P0211
2026,Aリーグ,レギュラー,56,ロッキンポ,MJAC愛好会,7,-27.3,-3.9,2.71,"49,800点",34,"-3,100点",2,1,1,3,28.6%,34,57.1%,83,36,53,77,35,32.00,32,P0223
2026,Aリーグ,レギュラー,57,カオス,レッドリボン軍,3,-34.2,-11.4,2.67,"35,900点",86,"3,700点",0,1,2,0,0.0%,96,100.0%,9,89,,,,,,P0089
2026,Aリーグ,レギュラー,58,なおすけ,レッドリボン軍,7,-35,-5,2.71,"59,300点",15,"12,000点",1,2,2,2,14.3%,75,71.4%,60,75,54,59,66,13.00,66,P0150
