選手ID,選手名,対局数,半荘数,総局数,総合ポイント,平均順位,1着数,2着数,3着数,4着数,トップ率,連対率,ラス回避率,平均得点,最高得点,平均ポイント,和了数,和了率,ツモ和了数,ロン和了数,ツモ和了率,平均和了点,最高和了点,平均翻,平均符,放銃数,放銃率,平均放銃点,副露局数,副露率,平均副露回数,立直局数,立直率,立直和了数,立直和了率,ダマ和了数,流局数,流局率,親局数,親番和了数,親番和了率,役満数,平均ドラ数,平均赤ドラ数,平均裏ドラ数,総局収支,平均局収支,最大局収支,最小局収支,解析済局数,判定保留局数,解析完了率,集計区分,年度,シーズン,最低得点,2着率,3着率,4着率,最大放銃点,放銃回避率,ダマ和了率,副露和了数,副露和了率,門前和了数,門前和了率,親番放銃数,親番放銃率,親平均収支,子平均収支
P0075,エイデン二号機,1,1,14,11.6,3,0,0,1,0,0.0%,0.0%,100.0%,36600,36600,11.6,3,21.4%,2,1,66.7%,7666.666667,12000,4.333333333,23.33333333,1,7.1%,5200,5,35.7%,3.4,3,21.4%,2,66.7%,1,1,7.1%,3,1,33.3%,0,1,0.3333333333,0.6666666667,11600,828.5714286,12900,-6200,14,0,100.0%,年度,2026,,36600,0.0%,100.0%,0.0%,5200,92.9%,33.3%,0,0.0%,3,33.3%,0,0.0%,600,890.9090909
P0075,エイデン二号機,1,1,14,11.6,3,0,0,1,0,0.0%,0.0%,100.0%,36600,36600,11.6,3,21.4%,2,1,66.7%,7666.666667,12000,4.333333333,23.33333333,1,7.1%,5200,5,35.7%,3.4,3,21.4%,2,66.7%,1,1,7.1%,3,1,33.3%,0,1,0.3333333333,0.6666666667,11600,828.5714286,12900,-6200,14,0,100.0%,シーズン,2026,セミファイナル,36600,0.0%,100.0%,0.0%,5200,92.9%,33.3%,0,0.0%,3,33.3%,0,0.0%,600,890.9090909
P0101,くれば,1,1,15,28.3,2,0,1,0,0,0.0%,100.0%,100.0%,53300,53300,28.3,5,33.3%,1,4,20.0%,7280,12000,4.2,34,0,0.0%,,4,26.7%,2,4,26.7%,3,75.0%,2,3,20.0%,4,1,25.0%,0,0.8,0.6,0.4,28300,1886.666667,15300,-4200,15,0,100.0%,全期間,,,53300,100.0%,0.0%,0.0%,,100.0%,40.0%,2,50.0%,3,27.3%,0,0.0%,425,2418.181818
P0101,くれば,1,1,15,28.3,2,0,1,0,0,0.0%,100.0%,100.0%,53300,53300,28.3,5,33.3%,1,4,20.0%,7280,12000,4.2,34,0,0.0%,,4,26.7%,2,4,26.7%,3,75.0%,2,3,20.0%,4,1,25.0%,0,0.8,0.6,0.4,28300,1886.666667,15300,-4200,15,0,100.0%,年度,2026,,53300,100.0%,0.0%,0.0%,,100.0%,40.0%,2,50.0%,3,27.3%,0,0.0%,425,2418.181818
P0101,くれば,1,1,15,28.3,2,0,1,0,0,0.0%,100.0%,100.0%,53300,53300,28.3,5,33.3%,1,4,20.0%,7280,12000,4.2,34,0,0.0%,,4,26.7%,2,4,26.7%,3,75.0%,2,3,20.0%,4,1,25.0%,0,0.8,0.6,0.4,28300,1886.666667,15300,-4200,15,0,100.0%,シーズン,2026,セミファイナル,53300,100.0%,0.0%,0.0%,,100.0%,40.0%,2,50.0%,3,27.3%,0,0.0%,425,2418.181818
P0109,サブ垢先輩,1,1,10,10.7,2,0,1,0,0,0.0%,100.0%,100.0%,35700,35700,10.7,3,30.0%,1,2,33.3%,4033.333333,8000,2.666666667,33.33333333,1,10.0%,1000,1,10.0%,3,3,30.0%,1,33.3%,2,1,10.0%,3,1,33.3%,0,0.3333333333,0.3333333333,0.3333333333,10700,1070,9000,-2300,10,0,100.0%,全期間,,,35700,100.0%,0.0%,0.0%,1000,90.0%,66.7%,1,100.0%,2,22.2%,1,33.3%,-100,1571.428571
P0109,サブ垢先輩,1,1,10,10.7,2,0,1,0,0,0.0%,100.0%,100.0%,35700,35700,10.7,3,30.0%,1,2,33.3%,4033.333333,8000,2.666666667,33.33333333,1,10.0%,1000,1,10.0%,3,3,30.0%,1,33.3%,2,1,10.0%,3,1,33.3%,0,0.3333333333,0.3333333333,0.3333333333,10700,1070,9000,-2300,10,0,100.0%,年度,2026,,35700,100.0%,0.0%,0.0%,1000,90.0%,66.7%,1,100.0%,2,22.2%,1,33.3%,-100,1571.428571
P0109,サブ垢先輩,1,1,10,10.7,2,0,1,0,0,0.0%,100.0%,100.0%,35700,35700,10.7,3,30.0%,1,2,33.3%,4033.333333,8000,2.666666667,33.33333333,1,10.0%,1000,1,10.0%,3,3,30.0%,1,33.3%,2,1,10.0%,3,1,33.3%,0,0.3333333333,0.3333333333,0.3333333333,10700,1070,9000,-2300,10,0,100.0%,シーズン,2026,セミファイナル,35700,100.0%,0.0%,0.0%,1000,90.0%,66.7%,1,100.0%,2,22.2%,1,33.3%,-100,1571.428571
P0110,サンタマルコ,1,1,14,-9.3,4,0,0,0,1,0.0%,0.0%,0.0%,15700,15700,-9.3,3,21.4%,0,3,0.0%,3666.666667,8000,2.333333333,30,2,14.3%,4500,7,50.0%,2.285714286,0,0.0%,0,,3,1,7.1%,4,2,50.0%,0,0.6666666667,0,0,-9300,-664.2857143,8600,-8600,14,0,100.0%,全期間,,,15700,0.0%,0.0%,100.0%,8000,85.7%,100.0%,3,42.9%,0,0.0%,1,25.0%,-2575,100
P0110,サンタマルコ,1,1,14,-9.3,4,0,0,0,1,0.0%,0.0%,0.0%,15700,15700,-9.3,3,21.4%,0,3,0.0%,3666.666667,8000,2.333333333,30,2,14.3%,4500,7,50.0%,2.285714286,0,0.0%,0,,3,1,7.1%,4,2,50.0%,0,0.6666666667,0,0,-9300,-664.2857143,8600,-8600,14,0,100.0%,年度,2026,,15700,0.0%,0.0%,100.0%,8000,85.7%,100.0%,3,42.9%,0,0.0%,1,25.0%,-2575,100
P0110,サンタマルコ,1,1,14,-9.3,4,0,0,0,1,0.0%,0.0%,0.0%,15700,15700,-9.3,3,21.4%,0,3,0.0%,3666.666667,8000,2.333333333,30,2,14.3%,4500,7,50.0%,2.285714286,0,0.0%,0,,3,1,7.1%,4,2,50.0%,0,0.6666666667,0,0,-9300,-664.2857143,8600,-8600,14,0,100.0%,シーズン,2026,セミファイナル,15700,0.0%,0.0%,100.0%,8000,85.7%,100.0%,3,42.9%,0,0.0%,1,25.0%,-2575,100
